formulator,original_sentence,cluster_label
annualreviews,Use of Generative AI Generative artificial intelligence (AI) should not replace expert authors in initial generation of the article outline and first draft (including text and figures) but can be used to query completeness of content and to improve the readability of text.,2
annualreviews,Authors must fact-check outputs created with the assistance of AI software and are solely responsible for ensuring correctness.,1
annualreviews,"Use of AI tools must be described in an author contributions statement as well as where pertinent in the article if AI use was targeted (e.g., in the figure caption if AI is used to create a figure).",9
annualreviews,AI tools cannot be listed as authors of articles.,4
asha,"Artificial Intelligence ASHA journals require that text based – either in whole or in part – on output produced by generative artificial intelligence (AI), large language models (LLM), or similar technologies and included in a manuscript must be declared by the authors.",2
asha,Authors should consider this to include text first produced during the brainstorming/outlining process and later adapted into the manuscript.,1
asha,Declaration involves several statements within the manuscript submission system at first submission including: An attestation that AI- or LLM-generated text has been included within the manuscript.,9
asha,"An affirmation that all authors, both jointly and severally, assume responsibility for the accuracy, originality, and integrity of AI- or LLM-generated text included within the manuscript.",6
asha,Authors must also include the following details within the manuscript itself: An Artificial Intelligence Statement disclosing the inclusion of AI- or LLM-generated text within the manuscript.,1
asha,"This should be included at the end of the main text, before the Reference section.",9
asha,For example: Artificial Intelligence Statement: ChatGPT was used during [PLEASE ADD DETAILS HERE] with resulting text being revised by the authors prior to inclusion in the manuscript.,9
asha,A parenthetical citation immediately following the AI- or LLM-generated text as well as a corresponding entry within the Reference section.,9
asha,For example: Reference: OpenAI.,4
asha,ChatGPT (Mar 14 version) [Large language model].,8
asha,https://chat.openai.com/chat ASHA journals prohibit the inclusion of AI-generated images or video.,1
asha,"Additionally, ASHA journals prohibit the crediting of AI, LLM, or similar technologies as authors based on the following determinations: AI or LLM fail to satisfy the four requirements for authorship.",5
asha,AI or LLM are unable to transfer copyright.,4
asha,"AI or LLM are unable to hold, or declare, conflicts of interest.",6
asha,"AI or LLM are unable to attest, either jointly or severally, to authorship queries and/or statements.",5
asha,"Please note, the above stipulations do not apply to permissible use of AI in areas such as research design, data analysis/verification, or formatting (e.g., Paperpal Preflight).",2
asha,"Nor do they alter similar ASHA journals policy relating to AI and potential scientific misconduct (e.g., image manipulation, etc.).",5
bera,Artificial Intelligence Generated Content Artificial Intelligence Generated Content (AIGC) tools — such as ChatGPT and others based on large language models (LLMs) — cannot be considered capable of initiating an original piece of research without direction by human authors.,8
bera,"They also cannot be accountable for a published work or for research design, which is a generally held requirement of authorship (as discussed in the previous section), nor do they have legal standing or the ability to hold or assign copyright.",5
bera,"Therefore — in accordance with COPE's position statement on AI tools — these tools cannot fulfil the role of, nor be listed as, an author of an article.",5
bera,"If an author has used this kind of tool to develop any portion of a manuscript, its use must be described, transparently and in detail, in the Methods or Acknowledgements section.",9
bera,The author is fully responsible for the accuracy of any information provided by the tool and for correctly referencing any supporting work on which that information depends.,6
bera,"Tools that are used to improve spelling, grammar, and general editing are not included in the scope of these guidelines.",2
bera,The final decision about whether use of an AIGC tool is appropriate or permissible in the circumstances of a submitted manuscript or a published article lies with the journal's editor or other party responsible for the publication's editorial policy.,7
bera,"BERA Artificial Intelligence (AI) Statement Generative AI tools have rapidly evolved and are increasingly integrated into academic life through research, writing, and review processes.",8
bera,"Their use must be approached with transparency, caution, and a commitment to research ethics.",3
bera,"While generative AI can assist with drafting, summarising, proofreading, or refining academic content, it cannot be considered capable of producing an original piece of research or submission without substantial human intellectual contribution and oversight.",2
bera,"In accordance with COPE guidelines, generative AI systems cannot be listed as authors, as they cannot assume accountability for errors, ensure ethical standards have been adhered to, or respond to critiques of the work.",5
bera,BERA expects all researchers to uphold the highest standards of academic integrity and ethical conduct in their work.,3
bera,"For work utilising AI, this includes, but is not limited to: Research integrity: Generative AI must not be used to fabricate, manipulate, modify, or falsify research data or findings.",5
bera,"AI-generated content should not mislead readers about the provenance or originality of the work Transparency: Any use of generative AI tools to support the creation of submissions to BERA must be fully disclosed at the point of submission, including specifying the tool used and what it has been used for Accountability: Named authors are fully responsible for verifying the accuracy, validity, and originality of all content within their submission, including content produced or assisted by AI.",7
bera,"They must take care to ensure that application of AI-based tools does not lead them to plagiarise, misrepresent or falsify content, or infringe third party rights Confidentiality: Inputting unpublished, sensitive, or proprietary material (such as manuscripts, peer reviews, or confidential data) into AI tools that transmit data to third-party servers may constitute a breach of privacy and confidentiality.",5
bera,"Therefore, no confidential manuscript or peer review content may be entered into generative AI tools.",1
bera,Peer review and judging: Peer review must be a human-led process.,3
bera,"Generative AI must not be used to draft, evaluate, or make decisions on peer review or judging processes.",1
bera,"AI tools may be used in the final preparation of referee reports provided the use of AI is explicitly disclosed, including specifying what purpose (e.g. to improve language style) it was used for, and the reviewer retains full responsibility for the content and judgments expressed.",7
bera,BERA will continue to monitor developments in AI technology and its implications for ethical research practices.,0
bera,"Any undisclosed or inappropriate use of AI tools, particularly for the generation of content presented as original, may be considered a breach of the BERA Code of Conduct, and BERA reserves the right to take appropriate action.",5
bera,BERA Council review this statement annually.,4
bera,Last updated: May 2025,4
COPE,"For publishers and editors At this point in time in the development of AI and the evolution of mindsets, we recommend that if an editorial decision is made by AI that provides a final outcome for an article, such as acceptance or rejection, the decision should directly involve an editor.",2
COPE,The decision cannot be made by an AI tool alone.,4
COPE,AI systems should provide support for individuals to make informed choices in accordance with their role.,0
COPE,Human oversight is key to ensuring a fair process and respecting authors’ rights during the evaluation of their manuscripts.,3
COPE,"Ultimately, the publisher remains accountable for editorial decisions, both made by AI as well as human editors.",3
COPE,"AI powered automation to increase processing speed, validation, quality assessment, and progression of the peer review process can be used, is acceptable, and even expected in many cases, provided the outcome does not result in a decision by the AI itself on acceptance or rejection of a manuscript.",2
COPE,"For example, if an AI tool detects a figure in a manuscript including a recognisable human face without the required consent form, the issue should be raised to the attention of the editor to make a decision on rejection, or the automation could proceed to automatically send a message requesting clarification, or the relevant documentation, from the authors.",9
COPE,"Misconduct and research integrity evaluations leading to expressions of concerns, retractions, or contacting researchers’ institutions, should also not rely solely on AI decision making.",5
COPE,"Publishers should ensure that the humans (editors, authors, and reviewers) who use the technology have trust in the results (typically through a testing phase), providing guidelines and technical support, and ensuring details on how the AI computes the recommendations is supplied.",7
COPE,Publishers should ensure the suppliers of AI tools are transparent on how the tools were built and trained.,0
COPE,Any known biases in the algorithms or databases used should be shared.,0
COPE,"For example, a tool providing an author’s citation count can be useful for the assessment of impact, but can be affected by self-citations.",2
COPE,"Users should be made aware of the limitation, or the tool supplier or publisher should add a parameter to present self-citation count.",9
COPE,Publishers should consider whether their AI tools can increase or propagate bias against various groups.,0
COPE,"Submissions should be assessed on the merits of their content and not based on race, ethnicity, gender, age, nationality, or location of the author(s).",7
COPE,Tools trained on historical datasets might need to be corrected for biases.,0
COPE,Publishers should watch out for biases and share any information for these tools to be updated by developers based on this feedback.,0
COPE,"Publishers should take steps to be transparent about which of their publishing processes or workflows are automated, and where AI decisions are involved.",0
COPE,"Any AI powered automation should be clearly presented to the relevant participants of the peer review process—authors, reviewers, or editors—with clarification on how the algorithm provided the result or conclusion.",7
COPE,"For authors Authors can challenge an editorial decision, if they have a valid reason, in accordance with the journal’s standard procedures.",7
COPE,Challenging an editorial decision that was made by AI or based on an AI recommendation should follow the same process as any editorial decision made by a human.,1
