Query ID,Question,Hit Rate (Naive),Hit Rate (Graph),Precision Score (Pure LLM),Precision Score (Naive RAG),Precision Score (GraphRAG)
Q001,Elsevier 出版社是否允许将生成式 AI 列为论文的合著者？,0.0,0.0,5,5,5
Q002,Springer Nature 对人工智能生成图像的基本政策是什么？,0.0,0.0,5,5,3
Q003,IEEE 政策是否允许使用人工智能工具进行代码生成？,0.0,0.0,5,5,3
Q004,Taylor & Francis 关于同行评审中使用 AI 的规定是什么？,0.0,0.0,3,3,1
Q005,SAGE 出版社是否允许作者使用 AI 进行语言润色？,0.0,0.0,5,5,3
Q006,ICMJE 规范中，谁应当对论文的最终准确性负责？,0.0,0.0,3,3,3
Q007,COPE 对于 AI 工具能否承担知识产权责任的立场是什么？,0.0,0.0,3,5,5
Q008,Wiley 出版社是否允许 AI 被视为拥有版权的主体？,0.0,0.0,5,5,5
Q009,JAMA 期刊群对在方法学部分使用 AI 有何要求？,0.0,0.0,3,3,3
Q010,PLOS 期刊对生成式 AI 编写的原始研究摘要（Abstract）持何种态度？,0.0,0.0,5,5,5
Q011,BMJ 对于在临床病例报告中使用 AI 有何隐私规定？,0.0,0.0,5,3,1
Q012,MDPI 是否允许在投稿信（Cover Letter）中使用 AI 辅助起草？,0.0,0.0,5,5,5
Q013,Science 期刊对人工智能生成的视觉素材（如照片）的具体限制是什么？,0.0,0.0,5,5,3
Q014,Nature Portfolio 是否要求在致谢（Acknowledgements）中列出大语言模型？,0.0,0.0,5,3,5
Q015,Elsevier 政策中，作者若未按规定披露 AI 的使用，可能面临何种后果？,0.0,0.0,5,1,1
Q016,如果一名作者在准备手稿时使用大语言模型润色了英语表达，根据 Springer 的政策，他必须执行哪些具体操作？,0.0,0.0,5,5,3
Q017,审稿专家将未发表的稿件输入 ChatGPT 进行总结，此行为违反了 Taylor & Francis 的哪两项核心原则？,0.0,0.0,3,3,3
Q018,为什么 Elsevier 允许使用 AI 改善语言质量，却禁止将其列为作者？,0.0,0.0,5,5,5
Q019,在 IEEE 投稿时，若作者使用 AI 辅助推导了数学公式，必须满足哪些条件才能符合规范？,0.0,0.0,1,5,3
Q020,若某医学数据集包含敏感临床图片，研究者欲使用 AI 工具进行图像增强，应遵循 COPE 的哪些指导原则？,0.0,0.0,5,3,3
Q021,依据 ICMJE 规范，若最终发表的论文中发现由 AI 引入的伪造数据，谁将被追究责任？,0.0,0.0,5,5,5
Q022,SAGE 期刊作者在“致谢”部分声明使用 AI，能否免除其由于 AI 输出导致的抄袭（Plagiarism）指控？,0.0,0.0,5,5,5
Q023,如果某作者使用 Midjourney 生成了一张显微镜下的细胞假想图并用于投稿 Nature，会面临什么判定？,0.0,0.0,5,5,5
Q024,某作者使用 AI 生成代码以处理原始数据，根据常规出版政策，他在提交数据可用性声明（Data Availability Statement）时需要注意什么？,0.0,0.0,3,3,3
Q025,为何出版商允许 AI 辅助文献检索，却要求严格审查由 AI 生成的参考文献列表？,0.0,0.0,5,5,5
Q026,在单盲同行评审体制下，若审稿人使用 AI 辅助撰写评审意见，可能对论文作者产生哪些非预期的负面影响？,0.0,0.0,3,3,3
Q027,某机构作者政策规定“仅限于提高可读性”。如果作者利用 ChatGPT 生成了一段全新的讨论（Discussion）章节，该行为性质如何定性？,0.0,0.0,5,5,5
Q028,如果论文被发现存在 AI 产生的刻板印象或偏见（Bias），根据伦理准则，谁应该承担主要道德责任？,0.0,0.0,5,5,5
Q029,在跨学科研究中，若一作者使用图表生成软件（非大模型）作图，另一作者使用 DALL-E 优化插图，投稿 Elsevier 时需如何分别对待？,0.0,0.0,5,5,3
Q030,Wiley 强调保留知识产权转移的人类主体性。这意味着 AI 生成的文本在后续商业使用中可能面临何种法律风险？,0.0,0.0,1,5,3
Q031,按照通常的编辑规定，执行主编若发现提交稿件的查重系统（如 iThenticate）同时报出极高的 AI 生成概率，首先应采取何种程序？,0.0,0.0,3,5,5
Q032,一篇关于临床医学的论文使用大语言模型进行翻译，为确保符合学术要求，翻译后必须经过何种关键步骤？,0.0,0.0,5,5,5
Q033,出版商对于作者在文章中声明“无利益冲突（No Conflict of Interest）”时，若使用了商业化 AI 赞助的账号服务，应当如何处理？,0.0,0.0,5,5,5
Q034,若模型开发人员提交了一篇关于新型医学大模型算法架构的论文，政策是否允许他们在附录中展示由该模型生成的虚构病例数据？,0.0,0.0,5,3,5
Q035,某期刊允许非英语母语作者使用 AI。如果系统检测出其行文具有典型的“机器特征”，评审者应基于什么标准评判文章的接受与否？,0.0,0.0,5,3,5
Q036,在对待 AI 生成图像的态度上，Science 与 Elsevier 的政策有何主要差异与共识？,0.0,0.0,3,5,1
Q037,"列举目前主流学术出版机构（如 IEEE, SAGE, Elsevier）在生成式 AI 使用上的两项绝对共识。",0.0,0.0,3,3,3
Q038,关于 AI 在同行评审环节的使用，COPE 与普通作者指南中的态度存在何种区别的着眼点？,0.0,0.0,3,5,1
Q039,对比传统的拼写检查软件（如 Grammarly）与大语言模型（如 GPT-4），为何出版商仅要求对后者进行显式披露？,0.0,0.0,5,5,1
Q040,在对待学术诚信问题上，使用 AI 生成引用的虚构文献与人工伪造数据的判定基准是否相同？,0.0,0.0,5,5,3
Q041,分析医学领域的 ICMJE 指南与通用计算机领域的 IEEE 准则在对待 AI 披露精度上的侧重点异同。,0.0,0.0,3,1,1
